Marca temporal;Género;Edad;Grado de estudios;Distrito en el que vives;Trabajas;Consumes drogas;Consumes licor;Llegas puntual a las  clases;Perteneces a alguna pandilla;Qué tan responsable se considera;Considera posible terminar el año escolar;Cómo te consideras en los estudios;Cómo te consideras para estos cursos: Matemáticas, Física, Religión y Lenguaje;Te gusta estudiar;Estudian en un buen ambiente físico;Te gusta estudiar en grupo;Cuántas horas al día son dedicada al estudio;Si te dieran a elegir entre estudiar o no estudiar. ¿Estudiarías?;Cuál de las siguientes redes sociales usas para buscar información para tus tareas;Cuántos integrantes hay en su grupo familiar;Cuántos trabajan en su familia;Cuántos de su familia estudian;Cuántos de sus familiares reciben pensión del Estado;Dependes de tus padres;Dependes de alguna persona;Nivel de educación de su padre;Nivel de educación de su madre;De qué manera el stress influye en su vida escolar;Tiene empatía hacia sus compañeros;Cuando obtienes malas notas. Te sientes;Que cantidad de amigos te gustaría tener;Cantidad de horas que trabaja a la semana;Ingreso familiar aproximado mensualmente;Sus estudios iniciales en que establecimiento lo realizó;Establecimiento en el que estudia es;Promedio ponderado durante el año
10/24/2022 12:42:23;1;16;1;1;2;2;2;1;2;2;1;1;1;1;1;1;6;1;Google, Facebook, Twitter;4;2;2;1;1;1;4;3;3;2;4;2;0;3;1;Público;15
10/24/2022 12:44:04;2;15;2;1;1;2;2;3;2;1;1;2;1;1;1;1;4;1;Google, Facebook, Tiktok;4;3;2;2;1;1;4;3;3;2;4;3;1;2;1;Público;15
10/24/2022 12:45:38;2;15;2;1;1;2;2;3;2;1;1;1;3;1;1;1;3;1;Google, Facebook;3;2;2;2;1;1;4;4;3;2;4;1;1;3;2;Público;18
10/24/2022 12:47:14;2;16;1;1;2;2;2;1;2;2;1;1;1;1;1;1;8;1;Google, Facebook, Twitter, Instagram;3;2;2;2;1;1;4;3;3;2;4;3;0;3;2;Público;16
10/24/2022 12:48:48;2;15;2;1;2;2;2;3;2;2;1;1;1;1;1;1;5;1;Google, Facebook, Twitter, Instagram, Wasap, Tiktok;5;2;3;1;1;1;4;3;3;1;2;3;0;3;2;Público;15
10/24/2022 12:50:33;1;16;1;1;2;2;2;3;2;2;1;1;1;1;1;1;6;1;Google, Facebook, Instagram, Wasap;3;2;1;1;1;1;3;2;3;1;1;4;0;3;2;Público;15
10/24/2022 12:52:14;1;15;2;1;1;1;2;3;1;3;3;3;5;1;2;2;1;1;Google, Facebook, Wasap;4;3;2;1;1;1;3;1;3;5;2;3;1;2;1;Público;11
10/24/2022 12:53:55;1;17;1;1;1;1;1;2;1;4;2;4;5;2;2;2;0;1;Google, Facebook, Wasap;5;4;2;1;1;1;3;1;2;5;2;2;1;2;1;Público;10
10/24/2022 12:55:36;1;15;2;1;2;2;2;1;2;1;2;2;2;2;1;1;5;1;Google, Facebook, Twitter, Wasap, Tiktok;3;2;1;2;1;1;4;3;3;4;2;3;0;2;1;Público;14
10/24/2022 12:58:41;2;16;1;1;2;2;2;1;2;2;1;1;1;1;1;1;8;1;Google, Facebook, Twitter;3;2;2;2;1;1;4;4;3;2;4;2;0;3;1;Público;18
